level_equivalent_diameter,level_major_axis_length,level_minor_axis_length,level_solidity,nodes,distmap-skew,distmap-kurt
7.632215118408203125e+01,1.282092590332031250e+02,6.150513458251953125e+01,6.966651678085327148e-01,3.200000000000000000e+01,1.235352873802185059e+00,8.674098253250122070e-01
9.090283203125000000e+01,1.314117736816406250e+02,8.941447448730468750e+01,6.737257242202758789e-01,5.800000000000000000e+01,1.697686076164245605e+00,2.877456188201904297e+00
1.040497741699218750e+02,1.433056945800781250e+02,1.051568679809570312e+02,7.079933285713195801e-01,3.200000000000000000e+01,1.364673495292663574e+00,1.636078476905822754e+00
3.470568466186523438e+01,3.956796646118164062e+01,3.445359039306640625e+01,9.175557494163513184e-01,2.000000000000000000e+00,1.237444505095481873e-01,-1.094375729560852051e+00
1.013282012939453125e+02,1.405394744873046875e+02,8.733963012695312500e+01,8.213485479354858398e-01,3.300000000000000000e+01,1.001571297645568848e+00,2.923497855663299561e-01
9.216861724853515625e+01,1.478675537109375000e+02,8.585332489013671875e+01,6.515625119209289551e-01,2.200000000000000000e+01,1.594750165939331055e+00,2.858357429504394531e+00
4.121287918090820312e+01,4.767166137695312500e+01,3.712385559082031250e+01,9.302650094032287598e-01,2.000000000000000000e+00,6.156309843063354492e-01,-5.447181463241577148e-01
4.530410766601562500e+01,7.509224700927734375e+01,4.488436126708984375e+01,6.037453413009643555e-01,1.500000000000000000e+01,1.558147311210632324e+00,2.451045274734497070e+00
7.144520568847656250e+01,1.053518066406250000e+02,5.995735931396484375e+01,8.504455089569091797e-01,2.800000000000000000e+01,2.095599412918090820e+00,4.076734066009521484e+00
1.037802200317382812e+02,1.411468963623046875e+02,7.997957611083984375e+01,9.913277626037597656e-01,1.000000000000000000e+00,3.830448687076568604e-01,-9.456907510757446289e-01
9.339681243896484375e+01,1.174075393676757812e+02,9.213220214843750000e+01,7.957026958465576172e-01,5.400000000000000000e+01,1.431383609771728516e+00,2.308029413223266602e+00
1.054295120239257812e+02,1.161868743896484375e+02,1.077019119262695312e+02,8.664152622222900391e-01,7.400000000000000000e+01,1.208534598350524902e+00,1.241382718086242676e+00
7.434468841552734375e+01,1.095625381469726562e+02,8.573996734619140625e+01,5.292611718177795410e-01,1.800000000000000000e+01,1.045732140541076660e+00,1.596426777541637421e-02
8.260321044921875000e+01,1.358140869140625000e+02,7.449644470214843750e+01,6.273706555366516113e-01,6.300000000000000000e+01,1.701313138008117676e+00,3.186769247055053711e+00
9.162133026123046875e+01,1.311173248291015625e+02,9.504467773437500000e+01,6.938539147377014160e-01,3.900000000000000000e+01,7.923765778541564941e-01,-4.663663506507873535e-01
1.151444473266601562e+02,1.287142181396484375e+02,1.164944076538085938e+02,8.864390850067138672e-01,1.300000000000000000e+01,1.329146265983581543e+00,1.300302743911743164e+00
4.661995315551757812e+01,6.278415679931640625e+01,5.091798019409179688e+01,6.483098864555358887e-01,2.100000000000000000e+01,7.734227180480957031e-01,2.397129237651824951e-01
7.627208709716796875e+01,1.039279403686523438e+02,7.331319427490234375e+01,7.473012804985046387e-01,1.600000000000000000e+01,9.272163510322570801e-01,2.936076819896697998e-01
5.241804122924804688e+01,7.166939544677734375e+01,4.238004684448242188e+01,9.128595590591430664e-01,1.000000000000000000e+00,2.906235158443450928e-01,-1.257145762443542480e+00
4.133627319335937500e+01,7.462947845458984375e+01,3.099093246459960938e+01,6.578431129455566406e-01,2.500000000000000000e+01,1.293240666389465332e+00,9.725957512855529785e-01
6.929203796386718750e+01,1.125134201049804688e+02,7.058587646484375000e+01,5.217210650444030762e-01,2.600000000000000000e+01,1.409675836563110352e+00,1.530195116996765137e+00
1.049331970214843750e+02,1.226392974853515625e+02,1.064098739624023438e+02,7.700801491737365723e-01,5.800000000000000000e+01,8.914804458618164062e-01,2.649555802345275879e-01
6.415904998779296875e+01,1.160105056762695312e+02,5.028079605102539062e+01,6.455671191215515137e-01,2.100000000000000000e+01,8.289805054664611816e-01,-1.412469334900379181e-02
9.343088531494140625e+01,9.355176544189453125e+01,9.332297515869140625e+01,9.888936877250671387e-01,1.000000000000000000e+00,5.778875946998596191e-01,-5.933792591094970703e-01
6.263266754150390625e+01,7.454953765869140625e+01,5.861947250366210938e+01,8.370007872581481934e-01,2.000000000000000000e+00,3.795008659362792969e-01,-7.633978128433227539e-01
8.203091430664062500e+01,1.370265197753906250e+02,5.599491882324218750e+01,8.078569173812866211e-01,1.600000000000000000e+01,4.799025952816009521e-01,-5.912730693817138672e-01
5.416220092773437500e+01,6.186933898925781250e+01,5.181561279296875000e+01,9.660377502441406250e-01,2.000000000000000000e+00,6.809878945350646973e-01,-1.834778785705566406e-01
4.308576583862304688e+01,7.779372406005859375e+01,3.350413894653320312e+01,6.648426651954650879e-01,1.200000000000000000e+01,1.271705389022827148e+00,9.831047654151916504e-01
5.509449386596679688e+01,8.495205688476562500e+01,6.788794708251953125e+01,5.725263953208923340e-01,1.600000000000000000e+01,1.133455276489257812e+00,7.485221624374389648e-01
9.135691070556640625e+01,1.205887222290039062e+02,8.631561279296875000e+01,7.600881457328796387e-01,4.000000000000000000e+01,1.099412202835083008e+00,7.904508709907531738e-01
3.219343185424804688e+01,7.573460388183593750e+01,5.364239120483398438e+01,2.338408529758453369e-01,1.000000000000000000e+01,1.635548353195190430e+00,3.180670022964477539e+00
6.092202758789062500e+01,6.387288284301757812e+01,5.913674926757812500e+01,9.749163985252380371e-01,1.000000000000000000e+00,5.714079141616821289e-01,-6.112326979637145996e-01
3.354912567138671875e+01,5.315812683105468750e+01,2.685547828674316406e+01,6.863353848457336426e-01,1.200000000000000000e+01,7.092751860618591309e-01,-2.905742824077606201e-01
6.277480697631835938e+01,1.428011474609375000e+02,4.010115051269531250e+01,6.372246146202087402e-01,3.400000000000000000e+01,1.138213992118835449e+00,8.721413016319274902e-01
8.588292694091796875e+01,1.082111968994140625e+02,8.428596496582031250e+01,7.855980396270751953e-01,2.600000000000000000e+01,7.355768680572509766e-01,-2.613216042518615723e-01
5.273286437988281250e+01,8.308196258544921875e+01,4.966015243530273438e+01,6.584262847900390625e-01,1.200000000000000000e+01,8.987155556678771973e-01,9.716803580522537231e-02
6.731611633300781250e+01,8.508679199218750000e+01,7.137176513671875000e+01,7.007284760475158691e-01,2.600000000000000000e+01,2.081149339675903320e+00,6.169083118438720703e+00
7.247146606445312500e+01,7.797903442382812500e+01,7.357633972167968750e+01,8.680555820465087891e-01,2.000000000000000000e+00,6.379894018173217773e-01,-5.838297009468078613e-01
7.734131622314453125e+01,8.917681884765625000e+01,7.347568511962890625e+01,8.417846560478210449e-01,5.000000000000000000e+00,6.777923107147216797e-01,-5.081235170364379883e-01
3.923450851440429688e+01,7.375614166259765625e+01,2.732913017272949219e+01,6.549295783042907715e-01,3.000000000000000000e+00,9.566162824630737305e-01,4.242241680622100830e-01
6.824595642089843750e+01,9.137014007568359375e+01,6.759230041503906250e+01,6.803050041198730469e-01,5.100000000000000000e+01,1.192275285720825195e+00,1.250004529953002930e+00
8.584585571289062500e+01,1.180056838989257812e+02,8.391182708740234375e+01,7.246776223182678223e-01,2.500000000000000000e+01,1.405964136123657227e+00,1.298927903175354004e+00
7.703615570068359375e+01,9.271301269531250000e+01,7.919652557373046875e+01,7.443308830261230469e-01,3.500000000000000000e+01,1.228779554367065430e+00,9.597656130790710449e-01
5.611346817016601562e+01,7.571302032470703125e+01,4.581743240356445312e+01,8.695499300956726074e-01,1.000000000000000000e+01,5.209171175956726074e-01,-7.096748352050781250e-01
8.536246490478515625e+01,1.223105468750000000e+02,8.066783142089843750e+01,7.450852990150451660e-01,1.200000000000000000e+01,7.600225806236267090e-01,-7.615772485733032227e-01
1.229881515502929688e+02,1.234768524169921875e+02,1.227813339233398438e+02,9.974811077117919922e-01,1.000000000000000000e+00,5.666457414627075195e-01,-6.031681895256042480e-01
6.602705383300781250e+01,7.294525909423828125e+01,7.158207702636718750e+01,7.581930756568908691e-01,3.600000000000000000e+01,8.773193359375000000e-01,1.562702804803848267e-01
6.499699401855468750e+01,8.468493652343750000e+01,8.068848419189453125e+01,5.978378653526306152e-01,5.000000000000000000e+01,1.936713576316833496e+00,3.847821474075317383e+00
7.520458984375000000e+01,1.086868362426757812e+02,7.608766174316406250e+01,7.125440835952758789e-01,3.400000000000000000e+01,2.286184072494506836e+00,5.489537715911865234e+00
5.479323577880859375e+01,7.440785980224609375e+01,5.425952148437500000e+01,6.719863414764404297e-01,3.500000000000000000e+01,1.644904375076293945e+00,2.918479442596435547e+00
2.961861038208007812e+01,4.242107009887695312e+01,2.642428207397460938e+01,7.604856491088867188e-01,2.000000000000000000e+00,1.011638998985290527e+00,4.239824414253234863e-02
5.473511505126953125e+01,7.278307342529296875e+01,4.237119674682617188e+01,9.415766596794128418e-01,4.000000000000000000e+00,2.781038880348205566e-01,-1.058310031890869141e+00
5.339272689819335938e+01,7.547577667236328125e+01,5.746088409423828125e+01,6.824138760566711426e-01,2.400000000000000000e+01,1.878722548484802246e+00,2.887665748596191406e+00
7.780908966064453125e+01,1.261958236694335938e+02,7.368931579589843750e+01,6.168915629386901855e-01,5.600000000000000000e+01,1.930485248565673828e+00,3.867008209228515625e+00
4.620846939086914062e+01,4.796043014526367188e+01,4.662613296508789062e+01,9.784130454063415527e-01,1.000000000000000000e+00,4.250029325485229492e-01,-7.693822383880615234e-01
5.127611160278320312e+01,1.509758758544921875e+02,5.280228042602539062e+01,3.320469558238983154e-01,2.000000000000000000e+01,9.985084533691406250e-01,2.517541944980621338e-01
9.212716674804687500e+01,1.443552703857421875e+02,7.385906219482421875e+01,6.756537556648254395e-01,5.500000000000000000e+01,1.285876512527465820e+00,1.609121680259704590e+00
1.228068466186523438e+02,1.327855377197265625e+02,1.189285507202148438e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.495321154594421387e-01,-6.428369879722595215e-01
6.407962036132812500e+01,7.507804107666015625e+01,7.180848693847656250e+01,7.184228301048278809e-01,4.500000000000000000e+01,1.675620913505554199e+00,2.627257108688354492e+00
8.035295867919921875e+01,1.138739852905273438e+02,8.417395782470703125e+01,6.502949595451354980e-01,3.400000000000000000e+01,7.029379606246948242e-01,-4.058506488800048828e-01
7.232197570800781250e+01,1.219972457885742188e+02,5.273731994628906250e+01,7.724708318710327148e-01,2.500000000000000000e+01,7.790485024452209473e-01,8.169081062078475952e-02
6.568872833251953125e+01,6.585160827636718750e+01,6.581410980224609375e+01,9.967647194862365723e-01,1.000000000000000000e+00,4.206899702548980713e-01,-6.220622658729553223e-01
4.197813034057617188e+01,7.662503051757812500e+01,4.111368560791015625e+01,5.423197746276855469e-01,2.000000000000000000e+01,1.403878092765808105e+00,1.764048218727111816e+00
4.342427444458007812e+01,8.857011413574218750e+01,2.845123672485351562e+01,6.992445588111877441e-01,1.200000000000000000e+01,9.092922210693359375e-01,3.372023701667785645e-01
4.133627319335937500e+01,1.108618240356445312e+02,5.772966003417968750e+01,3.770722150802612305e-01,1.000000000000000000e+00,6.614284515380859375e-01,-5.368988513946533203e-01
5.982538223266601562e+01,6.416496276855468750e+01,6.342671203613281250e+01,7.442414760589599609e-01,1.700000000000000000e+01,1.161805868148803711e+00,8.501279950141906738e-01
6.601741027832031250e+01,1.049179229736328125e+02,6.254476928710937500e+01,6.929149627685546875e-01,1.600000000000000000e+01,1.658240437507629395e+00,2.757685422897338867e+00
7.314473724365234375e+01,1.099529266357421875e+02,5.260087203979492188e+01,8.716034293174743652e-01,4.400000000000000000e+01,1.385936498641967773e+00,1.598943948745727539e+00
